"start";"end";"Org";"Nome do profissional de saúde";"Qual o distrito de saúde?";"Qual o distrito de saúde?/DABEL";"Qual o distrito de saúde?/DABEN";"Qual o distrito de saúde?/DAENT";"Qual o distrito de saúde?/DAGUA";"Qual o distrito de saúde?/DAICO";"Qual o distrito de saúde?/DAMOS";"Qual o distrito de saúde?/DAOUT";"Qual o distrito de saúde?/DASAC";"Nome do ponto de venda ou do proprietário";"Telefone de contato";"Localização";"_Localização_latitude";"_Localização_longitude";"_Localização_altitude";"_Localização_precision";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2025-03-18 10:38:55.215000-03:00";"2025-08-22 10:25:29.908000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Açaí do JN";"91-992505291";"-1.464571 -48.489958 0 0";"-1.464571";"-48.489958";"0";"0";"453395138";"715abcaa-3bcc-409c-be14-bd5ad84dd36b";"2025-03-18 14:22:12";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"1"
"2025-03-18 11:22:06.167000-03:00";"2025-08-22 10:26:47.128000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Açaí da Ju";"91-991393008";"-1.470391 -48.493098 0 0";"-1.470391";"-48.493098";"0";"0";"453404269";"e2b7bff4-1cef-489b-acaf-6c25bb27f44e";"2025-03-18 14:41:47";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"2"
"2025-03-18 11:41:50.174000-03:00";"2025-08-22 10:27:01.528000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Açaí do Zé";"91-993391769";"-1.47266 -48.479683 0 0";"-1.47266";"-48.479683";"0";"0";"453408026";"e7d535f6-b6fe-4e24-8cd1-99fd4d7f7e4f";"2025-03-18 14:49:42";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"3"
"2025-03-18 11:55:08.638000-03:00";"2025-03-18 12:11:55.387000-03:00";"";"Débora Barros";"";"";"";"";"";"";"";"";"";"Açai da Nita";"91980964839";"-1.464212 -48.476931 0 0";"-1.464212";"-48.476931";"0";"0";"453417751";"5544f5fb-6730-46ca-85d5-a7c02a9d7596";"2025-03-18 15:12:00";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"4"
"2025-03-18 12:27:57.359000-03:00";"2025-03-18 12:33:16.306000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Cardoso";"9198154-3880";"-1.473361 -48.481362 0 0";"-1.473361";"-48.481362";"0";"0";"453426764";"c1a16b49-c208-4f27-b228-ac1223845eaa";"2025-03-18 15:33:11";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"5"
"2025-03-18 12:33:16.393000-03:00";"2025-03-18 12:39:52.319000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Josenil";"9198261-4063";"-1.458433 -48.484614 0 0";"-1.458433";"-48.484614";"0";"0";"453429448";"b9333357-49d0-4cc5-91d8-c7a89fa1286e";"2025-03-18 15:39:48";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"6"
"2025-03-18 13:41:45.691000-03:00";"2025-03-18 14:01:30.418000-03:00";"";"Débora Barros";"";"";"";"";"";"";"";"";"";"Açaí  Garagem";"(91)992468102";"-1.4722602 -48.474959 0 0";"-1.4722602";"-48.474959";"0";"0";"453462510";"fab80810-cd79-4d58-ac9c-66ab55d14829";"2025-03-18 17:01:30";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"7"
"2025-03-19 07:18:42.209000-03:00";"2025-03-19 07:30:36.263000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Açaí Duque";"91-991292430";"-1.430198 -48.462272 0 0";"-1.430198";"-48.462272";"0";"0";"453730048";"ebb66a6d-a8f8-42d9-ae1a-e7178ecdaa85";"2025-03-19 10:30:38";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"8"
"2025-03-19 07:30:36.446000-03:00";"2025-03-19 07:40:42.700000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Açaí do Naldo";"91-984158475";"-1.471046 -48.468606 0 0";"-1.471046";"-48.468606";"0";"0";"453734996";"6d44d3e7-953d-4e98-b22f-662f758818b5";"2025-03-19 10:40:44";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"9"
"2025-03-19 10:14:07.353000-03:00";"2025-03-19 10:26:20.980000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Açaí de ponta";"91-984230753";"-1.451921 -48.459863 0 0";"-1.451921";"-48.459863";"0";"0";"453816819";"19d8c386-2c79-4982-8825-acae3d825f01";"2025-03-19 13:26:23";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"10"
